ID,Name,Glottocode,Family,Macroarea,Latitude,Longitude,Sounds,Consonants,Vowels,Clusters,Diphthongs,LongConsonants,LongVowels,Ratio (cons : vow),Phonemes
xamt1239-1333,Xamtanga,xamt1239,Afro-Asiatic,Africa,12.4479,38.8352,30,23,7,0,0,0,0,3.285714286,b d f h k kʷ kʼ q qʷ r s sʼ t tʼ tʃ tʃʼ w z g gʷ ʃ χ χʷ a e i o u ə ɨ
lika1243-1334,Liko,lika1243,Atlantic-Congo,Africa,2.13777,27.6088,42,33,9,0,0,0,0,3.666666667,b c d f h k kp l m ⁿb n ⁿd ⁿz p s t v w z ⁿgb ⁿg ɓ ɗ ɟ g gb ⁿv ɲ ⁿɟ ⁿʒ ʃ ʎ ʒ a e i o u ɔ ɛ ɪ ʊ
budu1250-1336,Budu,budu1250,Atlantic-Congo,Africa,2.00501,27.951,40,31,9,0,0,0,0,3.444444444,b d dʑ f h j k kp kʲ m ⁿb n ⁿd p s t tɕ v w ⁿgb ⁿg ⁿgʲ ɓ ɗ g gb gʲ ⁿv ɲ ⁿdʑ ʄ a e i o u ɔ ɛ ɪ ʊ
kele1255-1337,Kele-Foma,kele1255,Atlantic-Congo,Africa,0.36906,24.3098,28,21,7,0,0,0,0,3,b d f j k kp l m ⁿb n ⁿd p s t w ŋ ⁿk ⁿg gb ɲ χ a e i o u ɔ ɛ
leng1258-1338,Lengola,leng1258,Atlantic-Congo,Africa,-1.95874,25.3343,29,24,5,0,0,0,0,4.8,b d dʒ f j k kp l m n p s t tʃ v w ɓ ɗ g gb ɲ ʄ ⱱ ⱱ̟ a e i o u
keli1248-1339,Keliko,keli1248,Central Sudanic,Africa,3.56039,30.556,42,36,6,0,0,0,0,6,b d dʒ f h j jˀ k kp l m ⁿb n ⁿd ⁿz p r s t tʃ v w z ŋ ⁿgb ⁿg ɓ ɖʳ ɗ g gb ⁿv ɲ ⁿɖʳ ʈʳ ʔ a e i o u ɛ
wong1247-1340,Wongo,wong1247,Atlantic-Congo,Africa,-5.73837,20.5054,22,15,7,0,0,0,0,2.142857143,b d dz j k m n p s t ts w ŋ ɰ ɲ a e i o u ɔ ɛ
mwal1237-1341,Mwali Comorian,mwal1237,Atlantic-Congo,Africa,-12.3164,43.741,24,19,5,0,0,0,0,3.8,b d dz dʒ f j k m n p tʳ ts v w ɓ ɗ g ɲ ʃ a e i o u
afar1241-1342,Afar,afar1241,Afro-Asiatic,Africa,12.2281,41.8083,27,17,10,0,0,0,4,1.7,b d f h j k l m n r s t w ħ ɖ g ʕ a e eː i iː o oː u uː ʌ
mund1325-1343,Mundang,mund1325,Atlantic-Congo,Africa,9.83195,14.4751,64,37,27,0,0,0,15,1.37037037,b d dʒ f h j jˀ k kp l m ⁿb mˀ n ⁿd nˀ ⁿdʒ p r s t tʃ v w wˀ z ŋ ⁿgb ⁿg ɓ ɗ g gb ʃ ʒ ʔ ⱱ a aː ã ãː e eː i iː ĩ ĩː o oː u uː ũː ɔ ɔː ɔ̃ː ə ɛː ɪ ɪː ɪ̃ ɪ̃ː ʊ ʊː ʊ̃ː
